boundary_patch_id,reward,penalty
306,0.0,-0.0
307,0.0,-0.0
308,0.0,-0.0
309,0.0,-0.0
310,0.0,-0.0
311,0.0,-0.0
312,0.0,-0.0
313,0.0,-0.0
314,0.0,-0.0
315,0.01151877133105802,-0.01151877133105802
316,0.0017064846416382253,-0.0017064846416382253
317,0.0,-0.0
318,0.024744027303754267,-0.024744027303754267
319,0.0,-0.0
320,0.0,-0.0
321,0.0,-0.0
322,0.0799914675767918,-0.0799914675767918
323,0.0,-0.0
324,0.0,-0.0
325,0.0,-0.0
326,0.0,-0.0
327,0.0,-0.0
328,0.0,-0.0
329,0.0,-0.0
330,0.0,-0.0
331,0.0,-0.0
332,0.0,-0.0
333,0.0,-0.0
334,0.0,-0.0
335,0.0029863481228668944,-0.0029863481228668944
336,0.0,-0.0
337,0.0,-0.0
338,0.0,-0.0
339,0.0,-0.0
340,0.006825938566552901,-0.006825938566552901
341,0.0063993174061433445,-0.0063993174061433445
342,0.0,-0.0
343,0.0,-0.0
344,0.0,-0.0
345,0.0,-0.0
346,0.0,-0.0
347,0.0,-0.0
348,0.0,-0.0
349,0.008745733788395904,-0.008745733788395904
350,0.0,-0.0
351,0.0,-0.0
352,0.0,-0.0
353,0.0,-0.0
354,0.029650170648464164,-0.029650170648464164
355,0.05460750853242321,-0.05460750853242321
356,0.0,-0.0
357,0.0,-0.0
358,0.0,-0.0
359,0.0,-0.0
360,0.0019197952218430034,-0.0019197952218430034
361,0.0,-0.0
362,0.0,-0.0
363,0.0,-0.0
364,0.0,-0.0
365,0.0,-0.0
366,0.0,-0.0
367,0.0,-0.0
368,0.0,-0.0
369,0.005119453924914676,-0.005119453924914676
370,0.12286689419795221,-0.12286689419795221
371,0.0,-0.0
372,0.0,-0.0
373,0.0,-0.0
374,0.0,-0.0
375,0.0,-0.0
376,0.002773037542662116,-0.002773037542662116
377,0.03348976109215017,-0.03348976109215017
378,0.0,-0.0
379,0.0,-0.0
380,0.0,-0.0
381,0.0,-0.0
382,0.0,-0.0
383,0.0,-0.0
384,0.0,-0.0
385,0.0,-0.0
386,0.0,-0.0
387,0.0034129692832764505,-0.0034129692832764505
388,0.0,-0.0
389,0.0,-0.0
390,0.002559726962457338,-0.002559726962457338
391,0.0,-0.0
392,0.0,-0.0
393,0.0,-0.0
394,0.0,-0.0
395,0.0,-0.0
396,0.0,-0.0
397,0.0,-0.0
398,0.0,-0.0
399,0.0,-0.0
400,0.0,-0.0
401,0.0,-0.0
402,0.0,-0.0
403,0.0,-0.0
404,0.0,-0.0
405,0.001279863481228669,-0.001279863481228669
406,0.0,-0.0
407,0.0,-0.0
408,0.0,-0.0
409,0.0,-0.0
410,0.0,-0.0
411,0.0,-0.0
412,0.0,-0.0
413,0.0,-0.0
414,0.0,-0.0
415,0.0,-0.0
416,0.0,-0.0
417,0.0,-0.0
418,0.0,-0.0
419,0.0,-0.0
420,0.0,-0.0
421,0.0,-0.0
422,0.0,-0.0
423,0.0,-0.0
424,0.0,-0.0
425,0.0,-0.0
426,0.0,-0.0
427,0.0,-0.0
428,0.0,-0.0
429,0.0,-0.0
430,0.0,-0.0
431,0.0,-0.0
432,0.0,-0.0
433,0.0,-0.0
434,0.0,-0.0
435,0.0,-0.0
436,0.0,-0.0
437,0.001279863481228669,-0.001279863481228669
438,0.0,-0.0
439,0.0,-0.0
440,0.0,-0.0
441,0.0,-0.0
442,0.0,-0.0
443,0.0,-0.0
444,0.0,-0.0
445,0.0,-0.0
446,0.0,-0.0
447,0.0,-0.0
448,0.0,-0.0
449,0.0,-0.0
450,0.0,-0.0
451,0.0,-0.0
452,0.0,-0.0
453,0.0,-0.0
454,0.0,-0.0
455,0.0,-0.0
456,0.0,-0.0
457,0.0,-0.0
458,0.0,-0.0
459,0.0,-0.0
460,0.0,-0.0
461,0.0,-0.0
462,0.0,-0.0
463,0.0,-0.0
464,0.0,-0.0
465,0.0,-0.0
466,0.0,-0.0
467,0.0,-0.0
468,0.0,-0.0
469,0.0,-0.0
470,0.0,-0.0
